사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
2019년 1월 4일 10시,서울특별시 강서구 염창동,중상사고,0,1,1,0,승용,상해없음,승용,중상
2019년 1월 4일 10시,서울특별시 도봉구 창동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 1월 4일 12시,서울특별시 영등포구 대림동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 12시,서울특별시 구로구 구로동,중상사고,0,1,1,0,승용,경상,이륜,중상
2019년 1월 4일 12시,서울특별시 양천구 목동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 4일 12시,서울특별시 강남구 대치동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 17시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 4일 18시,서울특별시 서대문구 북가좌동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 4일 18시,서울특별시 양천구 목동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 4일 19시,서울특별시 영등포구 영등포동3가,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 1월 4일 19시,서울특별시 금천구 독산동,중상사고,0,1,0,0,화물,상해없음,승용,중상
2019년 1월 4일 19시,서울특별시 송파구 삼전동,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 1월 4일 19시,서울특별시 송파구 잠실동,중상사고,0,2,2,6,승합,부상신고,승용,중상
2019년 1월 4일 19시,서울특별시 양천구 목동,중상사고,0,1,1,0,승용,상해없음,이륜,중상
2019년 1월 4일 19시,서울특별시 양천구 신월동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 4일 20시,서울특별시 서대문구 홍은동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
2019년 1월 4일 20시,서울특별시 은평구 신사동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 20시,서울특별시 동작구 대방동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 20시,서울특별시 동작구 본동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 4일 20시,서울특별시 서초구 반포동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 4일 21시,서울특별시 용산구 한남동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 4일 21시,서울특별시 금천구 가산동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 21시,서울특별시 강동구 천호동,중상사고,0,1,0,1,이륜,부상신고,보행자,중상
2019년 1월 4일 22시,서울특별시 중구 신당동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 1월 4일 22시,서울특별시 금천구 독산동,중상사고,0,1,0,0,승용,상해없음,사륜오토바이(ATV),중상
2019년 1월 4일 22시,서울특별시 금천구 시흥동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 4일 22시,서울특별시 관악구 봉천동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 4일 23시,서울특별시 관악구 신림동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 5일 00시,서울특별시 종로구 관철동,중상사고,0,1,1,0,승용,상해없음,보행자,중상
2019년 1월 5일 00시,서울특별시 영등포구 영등포동7가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 5일 00시,서울특별시 강남구 개포동,중상사고,0,1,2,1,승용,부상신고,승용,중상
2019년 1월 5일 06시,서울특별시 송파구 잠실동,중상사고,0,2,0,0,승용,상해없음,화물,중상
2019년 1월 5일 09시,서울특별시 용산구 이태원동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
2019년 1월 5일 09시,서울특별시 강남구 대치동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 5일 10시,서울특별시 동대문구 제기동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 5일 10시,서울특별시 서초구 방배동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 5일 11시,서울특별시 은평구 대조동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 5일 14시,서울특별시 강서구 내발산동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 5일 14시,서울특별시 노원구 하계동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 1월 5일 15시,서울특별시 동대문구 제기동,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 5일 15시,서울특별시 강남구 역삼동,중상사고,0,1,0,0,승용,상해없음,승용,중상
2019년 1월 5일 16시,서울특별시 동작구 상도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 5일 17시,서울특별시 종로구 구기동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 5일 17시,서울특별시 구로구 구로동,중상사고,0,1,1,0,화물,경상,승용,중상
2019년 1월 5일 18시,서울특별시 영등포구 양평동2가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 5일 21시,서울특별시 송파구 석촌동,중상사고,0,1,0,0,승용,상해없음,원동기,중상
2019년 1월 5일 21시,서울특별시 서초구 서초동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 5일 23시,서울특별시 구로구 구로동,중상사고,0,2,2,1,승용,상해없음,승용,중상
2019년 1월 6일 01시,서울특별시 용산구 이촌동,중상사고,0,1,3,0,승용,상해없음,승용,중상
2019년 1월 6일 01시,서울특별시 영등포구 영등포동3가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 6일 02시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 6일 06시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,자전거,중상,이륜,상해없음
2019년 1월 6일 10시,서울특별시 성북구 정릉동,중상사고,0,1,2,1,승용,부상신고,승합,중상
2019년 1월 6일 12시,서울특별시 성북구 동소문동7가,중상사고,0,2,0,0,승용,상해없음,보행자,중상
2019년 1월 6일 13시,서울특별시 동작구 상도동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 6일 13시,서울특별시 양천구 목동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 6일 17시,서울특별시 구로구 오류동,중상사고,0,2,5,0,승용,상해없음,승용,중상
2019년 1월 6일 17시,서울특별시 강남구 개포동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 6일 18시,서울특별시 마포구 마포동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 1월 6일 18시,서울특별시 동작구 신대방동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 7일 00시,서울특별시 노원구 상계동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
2019년 1월 7일 01시,서울특별시 광진구 군자동,중상사고,0,1,0,0,기타불명,기타불명,원동기,중상
2019년 1월 7일 02시,서울특별시 마포구 서교동,중상사고,0,6,3,0,승합,기타불명,승용,중상
2019년 1월 7일 04시,서울특별시 관악구 신림동,중상사고,0,1,2,0,승용,상해없음,승용,중상
2019년 1월 7일 05시,서울특별시 강북구 우이동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 05시,서울특별시 동대문구 제기동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 08시,서울특별시 서대문구 연희동,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 1월 7일 08시,서울특별시 도봉구 쌍문동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 09시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 13시,서울특별시 종로구 홍지동,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 1월 7일 13시,서울특별시 성북구 종암동,중상사고,0,2,0,0,승용,상해없음,이륜,중상
2019년 1월 7일 15시,서울특별시 강북구 미아동,중상사고,0,1,0,0,승용,기타불명,보행자,중상
2019년 1월 7일 15시,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
2019년 1월 7일 15시,서울특별시 금천구 시흥동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 15시,서울특별시 강남구 세곡동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 15시,서울특별시 강남구 대치동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 7일 16시,서울특별시 강남구 세곡동,중상사고,0,1,1,0,화물,상해없음,승용,중상
2019년 1월 7일 19시,서울특별시 강북구 미아동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 20시,서울특별시 영등포구 신길동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 7일 20시,서울특별시 영등포구 영등포동1가,중상사고,0,1,0,0,화물,상해없음,보행자,중상
2019년 1월 7일 20시,서울특별시 서초구 서초동,중상사고,0,1,0,0,승합,기타불명,보행자,중상
2019년 1월 7일 22시,서울특별시 금천구 독산동,중상사고,0,1,0,0,승합,상해없음,보행자,중상
2019년 1월 8일 01시,서울특별시 용산구 원효로1가,중상사고,0,1,2,0,이륜,경상,승용,경상
2019년 1월 8일 01시,서울특별시 동대문구 신설동,중상사고,0,2,0,0,승용,상해없음,승용,중상
2019년 1월 8일 01시,서울특별시 강남구 개포동,중상사고,0,1,0,0,승용,상해없음,화물,중상
2019년 1월 8일 04시,서울특별시 강서구 염창동,사망사고,1,0,0,0,승용,상해없음,보행자,사망
2019년 1월 8일 05시,서울특별시 강남구 청담동,중상사고,0,1,4,0,승용,경상,승용,중상
2019년 1월 8일 07시,서울특별시 성동구 성수동2가,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 07시,서울특별시 도봉구 쌍문동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
2019년 1월 8일 09시,서울특별시 동대문구 용두동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
2019년 1월 8일 09시,서울특별시 성동구 성수동1가,중상사고,0,1,0,0,건설기계,상해없음,보행자,중상
2019년 1월 8일 11시,서울특별시 영등포구 영등포동7가,중상사고,0,1,1,0,자전거,상해없음,승합,상해없음
2019년 1월 8일 11시,서울특별시 성동구 마장동,중상사고,0,1,1,0,승용,상해없음,승용,경상
2019년 1월 8일 11시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,보행자,중상
