,index,사고일시,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,가해운전자 차종,가해운전자 상해정도,피해운전자 차종,피해운전자 상해정도
5404,18688,2021년 1월 20일 10시,서울특별시 송파구 석촌동,중상사고,0,1,0,0,이륜,상해없음,보행자,중상
5405,18689,2021년 1월 20일 11시,서울특별시 관악구 남현동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5406,18690,2021년 1월 20일 12시,서울특별시 중구 신당동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
5407,18691,2021년 1월 20일 12시,서울특별시 강북구 수유동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5408,18697,2021년 1월 20일 17시,서울특별시 구로구 구로동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5409,18698,2021년 1월 20일 18시,서울특별시 동대문구 장안동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5410,18701,2021년 1월 20일 18시,서울특별시 노원구 공릉동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5411,18703,2021년 1월 20일 19시,서울특별시 서대문구 북가좌동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5412,18704,2021년 1월 20일 19시,서울특별시 노원구 공릉동,중상사고,0,1,1,0,이륜,중상,승용,경상
5413,18706,2021년 1월 20일 20시,서울특별시 은평구 역촌동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5414,18708,2021년 1월 20일 21시,서울특별시 성북구 삼선동3가,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5415,18709,2021년 1월 20일 21시,서울특별시 중랑구 면목동,중상사고,0,1,0,0,승용,기타불명,이륜,중상
5416,18710,2021년 1월 20일 21시,서울특별시 관악구 신림동,중상사고,0,1,0,0,이륜,상해없음,이륜,중상
5417,18711,2021년 1월 20일 21시,서울특별시 강남구 청담동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5418,18712,2021년 1월 20일 21시,서울특별시 강서구 염창동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5419,18713,2021년 1월 20일 21시,서울특별시 강동구 암사동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5420,18716,2021년 1월 20일 22시,서울특별시 서초구 양재동,중상사고,0,1,0,0,승용,상해없음,이륜,중상
5421,18719,2021년 1월 21일 05시,서울특별시 은평구 구산동,중상사고,0,1,0,0,이륜,중상,,
5422,18720,2021년 1월 21일 06시,서울특별시 서대문구 창천동,중상사고,0,1,0,0,이륜,중상,승용,상해없음
5423,18722,2021년 1월 21일 08시,서울특별시 노원구 중계동,사망사고,1,0,0,0,이륜,사망,,
5424,18724,2021년 1월 21일 12시,서울특별시 구로구 개봉동,중상사고,0,1,0,0,화물,상해없음,이륜,중상
