,자치구,행정동,사망자수,중상자수,경상자수
418,금천구,독산동,0,1,0
419,도봉구,창동,0,1,0
420,구로구,고척동,0,1,0
421,은평구,수색동,0,1,1
422,동작구,상도1동,0,1,0
423,강북구,수유동,0,1,0
424,성동구,성수동1가,0,2,0
425,노원구,상계동,0,1,1
426,서초구,양재동,0,1,0
427,송파구,잠실동,0,1,0
428,성북구,하월곡동,0,1,0
429,도봉구,방학동,0,1,0
430,성동구,하왕십리동,0,1,1
431,금천구,시흥동,0,1,0
432,중랑구,면목동,0,1,1
433,은평구,불광동,1,0,0
434,광진구,자양동,0,1,0
435,강서구,화곡동,0,1,0
436,중구,쌍림동,0,1,0
437,영등포구,영등포동7가,0,1,0
438,강서구,화곡동,0,1,0
439,서초구,서초동,0,1,1
440,송파구,가락동,0,1,0
441,양천구,목동,0,1,0
442,동대문구,장안동,0,1,0
443,성동구,성수동1가,0,1,1
444,중랑구,묵동,0,1,0
445,구로구,구로동,0,1,0
446,노원구,공릉동,0,1,0
447,양천구,신정동,0,1,1
448,금천구,가산동,1,0,0
449,중랑구,신내동,0,1,0
450,마포구,상암동,0,1,0
451,영등포구,영등포동,0,1,0
452,중랑구,상봉동,0,1,0
453,강남구,역삼동,0,1,0
454,노원구,중계동,0,1,0
455,강북구,번동,0,1,0
456,강서구,화곡동,0,1,0
457,용산구,원효로4가,0,1,0
458,중랑구,중화동,0,1,0
459,강서구,내발산동,0,1,0
460,동대문구,장안동,0,1,0
461,구로구,구로동,0,1,0
462,관악구,봉천동,0,1,0
463,강서구,화곡동,0,1,0
464,강북구,미아동,0,1,0
465,강서구,공항동,0,1,0
466,중랑구,묵동,0,1,1
467,노원구,중계동,0,1,1
468,서초구,서초동,0,1,0
469,은평구,불광동,0,1,0
470,성북구,종암동,0,1,0
471,종로구,종로1가,0,1,1
472,관악구,봉천동,0,1,0
473,종로구,세종로,0,1,0
474,서초구,방배동,0,1,0
475,강북구,번동,0,1,0
476,중랑구,면목동,0,1,1
477,관악구,봉천동,0,1,0
478,양천구,목동,0,1,0
479,은평구,역촌동,0,1,0
480,종로구,소격동,0,1,0
481,중구,충무로1가,0,1,0
482,강남구,논현동,0,1,1
483,광진구,중곡동,0,1,0
484,중랑구,묵동,0,1,0
485,중구,장충동1가,0,1,0
486,종로구,종로6가,0,1,0
487,서초구,방배동,0,1,0
488,성동구,성수동2가,0,1,0
489,강남구,논현동,0,1,0
490,강북구,수유동,0,1,0
491,동대문구,휘경동,0,1,0
492,중랑구,면목동,0,1,0
493,중구,신당동,0,1,0
494,용산구,한남동,0,1,1
495,관악구,봉천동,0,1,0
496,관악구,봉천동,0,1,0
497,중구,신당동,0,1,0
498,중구,남대문로4가,0,1,0
499,동작구,동작동,0,1,0
500,성북구,종암동,0,1,0
501,양천구,신월동,0,1,0
502,성북구,동소문동3가,0,1,0
503,동대문구,전농동,0,1,0
504,용산구,청파동2가,0,1,0
505,영등포구,신길동,0,1,1
506,동대문구,장안동,0,1,0
507,강남구,논현동,0,1,0
508,중랑구,망우동,0,1,0
509,송파구,거여동,0,1,0
510,강북구,미아동,0,1,0
511,도봉구,도봉동,0,1,0
512,중랑구,면목동,0,1,0
513,성북구,동소문동5가,0,1,0
514,송파구,신천동,0,1,0
515,양천구,신월동,0,1,0
516,성북구,종암동,0,1,1
517,강북구,우이동,1,0,0
518,동작구,상도동,0,2,0
519,노원구,상계동,0,1,0
520,동작구,사당동,0,1,0
521,영등포구,신길동,0,1,1
522,강동구,암사동,0,1,0
523,관악구,신림동,0,1,0
524,중랑구,면목동,0,1,1
525,중랑구,면목동,0,1,1
526,강동구,명일동,0,1,0
527,성북구,길음동,0,1,1
528,강북구,수유동,0,1,0
529,은평구,응암동,0,1,2
530,강남구,논현동,0,1,1
531,종로구,창신동,0,1,1
532,동대문구,신설동,0,1,0
533,동대문구,용두동,0,1,0
534,관악구,봉천동,0,1,0
535,종로구,묘동,0,1,0
536,영등포구,당산동4가,0,1,0
537,관악구,신림동,0,1,0
538,서대문구,연희동,0,1,0
539,용산구,한남동,0,1,1
540,종로구,창신동,0,1,1
541,종로구,창신동,1,0,1
542,금천구,가산동,0,1,1
543,양천구,신정동,0,1,0
544,구로구,구로동,0,1,0
545,금천구,독산동,0,1,1
546,성북구,돈암동,0,1,0
547,동대문구,전농동,0,1,0
548,광진구,중곡동,0,1,0
549,강남구,대치동,0,1,0
550,영등포구,영등포동1가,0,1,1
551,노원구,중계동,0,1,0
552,동대문구,전농동,0,2,1
553,서대문구,북아현동,0,1,0
554,강남구,대치동,0,1,0
555,구로구,구로동,0,1,0
556,영등포구,신길동,0,1,0
557,성북구,장위동,0,1,0
558,강북구,수유동,0,1,0
559,관악구,신림동,0,1,1
560,강남구,대치동,0,1,0
561,중랑구,면목동,0,1,0
562,송파구,방이동,0,1,0
563,중랑구,묵동,0,1,1
564,관악구,신림동,0,1,0
565,종로구,숭인동,0,2,1
566,강남구,논현동,0,1,0
567,용산구,한강로2가,0,1,0
568,성북구,안암동5가,0,3,0
569,마포구,합정동,0,1,0
570,관악구,신림동,0,1,0
571,서초구,반포동,0,1,0
572,종로구,운니동,0,1,0
573,강북구,수유동,0,1,2
574,동작구,흑석동,0,2,0
575,노원구,중계동,0,1,0
576,금천구,시흥동,0,2,0
577,강동구,둔촌동,0,2,0
578,강북구,미아동,0,1,1
579,동작구,노량진동,0,1,0
580,구로구,오류동,0,1,1
581,강동구,성내동,0,1,0
582,금천구,가산동,0,1,0
583,송파구,오금동,0,1,0
584,서초구,반포동,0,1,0
585,광진구,화양동,0,1,0
586,동대문구,청량리동,0,1,0
587,은평구,불광동,0,1,0
588,관악구,남현동,0,1,0
589,동작구,노량진동,0,1,0
590,광진구,중곡동,0,2,0
591,강남구,대치동,0,1,0
592,강남구,역삼동,0,1,0
593,성북구,정릉동,0,1,0
594,강동구,암사동,0,1,1
595,성북구,석관동,0,1,0
596,송파구,문정동,0,1,0
597,중구,인현동2가,0,1,0
598,성동구,성수동2가,0,1,0
599,동대문구,청량리동,0,1,0
600,강서구,방화동,0,1,0
601,영등포구,대림동,0,1,0
602,광진구,자양동,0,1,0
603,동대문구,용두동,0,1,0
604,동대문구,장안동,0,1,0
605,관악구,봉천동,0,1,0
606,영등포구,신길동,0,1,0
607,중랑구,망우동,0,1,0
608,관악구,봉천동,0,1,0
609,동작구,상도동,0,1,0
610,성북구,길음동,1,0,0
611,노원구,상계동,0,1,2
612,강남구,신사동,0,1,2
613,마포구,대흥동,0,1,0
614,도봉구,쌍문동,0,1,2
615,구로구,오류동,0,3,1
616,양천구,신월동,1,0,0
617,서초구,방배동,0,1,0
618,관악구,봉천동,0,1,0
619,중구,회현동1가,0,1,0
620,용산구,이촌동,0,1,0
621,성북구,정릉동,0,1,0
622,강남구,역삼동,0,1,0
623,중랑구,면목동,0,1,0
624,구로구,구로동,0,1,0
625,관악구,신림동,1,0,0
626,동대문구,이문동,0,1,0
627,강서구,화곡동,0,1,0
628,강서구,마곡동,0,1,0
629,양천구,신월동,0,1,0
630,영등포구,양평동6가,0,1,0
631,관악구,봉천동,0,1,0
632,도봉구,도봉동,0,1,0
633,강남구,대치동,0,1,0
634,동작구,상도동,0,1,0
635,영등포구,양평동4가,0,1,0
636,성동구,옥수동,0,1,0
637,구로구,궁동,0,1,0
638,양천구,목동,0,1,0
639,관악구,봉천동,0,1,0
640,마포구,서교동,0,1,0
641,광진구,중곡동,0,1,0
