구_x,행정동,1인가구,행정동코드,생활인구,도로면적,사망자수,중상자수,경상자수
양천구,신월4동,1151,11470590.0,11414.0,0.144976,0.0,0.0,0.0
양천구,신월5동,1567,11470600.0,8269.0,0.192372,0.0,0.0,0.0
양천구,신월6동,874,11470610.0,4070.0,0.114308,0.0,0.0,0.0
양천구,신월7동,2217,11470611.0,16065.0,0.331772,0.0,0.0,0.0
양천구,신정1동,929,11470620.0,18302.0,0.19516,3.0,98.0,15.0
양천구,신정2동,1148,11470630.0,13685.0,0.144976,0.0,0.0,0.0
양천구,신정3동,3582,11470640.0,42195.0,0.758336,0.0,0.0,0.0
양천구,신정6동,728,11470670.0,18486.0,0.267648,0.0,0.0,0.0
양천구,신정7동,2450,11470680.0,20687.0,0.337348,0.0,0.0,0.0
양천구,목5동,1185,11470550.0,37837.0,0.504628,0.0,1.0,0.0
양천구,신정4동,5522,11470650.0,32473.0,0.281588,0.0,0.0,0.0
강서구,염창동,2993,11500510.0,30781.0,0.469626,4.0,16.0,5.0
강서구,등촌1동,6021,11500520.0,22214.0,0.172736,0.0,46.0,9.0
강서구,등촌2동,2147,11500530.0,15977.0,0.248308,0.0,5.0,0.0
강서구,등촌3동,5335,11500535.0,39672.0,0.213221,0.0,1.0,0.0
강서구,화곡본동,5647,11500590.0,28260.0,0.264502,0.0,0.0,0.0
강서구,화곡2동,2322,11500550.0,13082.0,0.121455,0.0,0.0,0.0
강서구,화곡3동,2282,11500560.0,19864.0,0.143047,0.0,0.0,0.0
강서구,화곡4동,2969,11500570.0,16995.0,0.221318,0.0,0.0,0.0
강서구,화곡6동,4182,11500591.0,20373.0,0.299589,0.0,0.0,0.0
강서구,화곡8동,3346,11500593.0,26527.0,0.143047,0.0,0.0,0.0
강서구,가양1동,11023,11500603.0,50311.0,1.26853,0.0,69.0,16.0
강서구,가양2동,3623,11500604.0,14565.0,0.2699,2.0,54.0,15.0
강서구,가양3동,2925,11500605.0,10333.0,0.13495,1.0,2.0,0.0
강서구,발산1동,2152,11500611.0,35295.0,0.793506,0.0,3.0,0.0
강서구,공항동,4329,11500620.0,34201.0,2.933813,0.0,9.0,4.0
강서구,방화1동,3791,11500630.0,32242.0,0.399452,1.0,32.0,3.0
강서구,방화2동,4206,11500640.0,25797.0,1.730059,0.0,0.0,0.0
강서구,방화3동,3815,11500641.0,16971.0,0.688245,0.0,0.0,0.0
강서구,화곡1동,10238,11500540.0,48586.0,0.302288,1.0,150.0,28.0
강서구,우장산동,2826,11500615.0,32164.0,0.367064,0.0,23.0,3.0
구로구,신도림동,2324,11530510.0,32957.0,0.324282,0.0,23.0,5.0
구로구,구로1동,1822,11530520.0,16938.0,0.225012,5.0,117.0,23.0
구로구,구로3동,6197,11530540.0,41354.0,0.225012,0.0,0.0,0.0
구로구,구로4동,3764,11530550.0,18240.0,0.101476,0.0,0.0,0.0
구로구,구로5동,5350,11530560.0,32551.0,0.227218,0.0,0.0,0.0
구로구,고척1동,2216,11530720.0,21995.0,0.255896,1.0,28.0,7.0
구로구,고척2동,2916,11530730.0,17097.0,0.225012,0.0,2.0,0.0
구로구,개봉2동,2373,11530750.0,22180.0,0.17648,1.0,0.0,0.0
구로구,개봉3동,1860,11530760.0,17136.0,0.178686,0.0,1.0,0.0
구로구,오류1동,4624,11530770.0,14712.0,0.130154,1.0,50.0,10.0
구로구,오류2동,3258,11530780.0,50915.0,0.70592,0.0,11.0,2.0
구로구,수궁동,2086,11530790.0,22064.0,0.589002,0.0,0.0,0.0
구로구,가리봉동,2849,11530595.0,11309.0,0.08824,3.0,17.0,3.0
구로구,구로2동,4383,11530530.0,33443.0,0.388256,0.0,0.0,0.0
구로구,개봉1동,3591,11530740.0,28724.0,0.288986,4.0,67.0,9.0
구로구,항동,1358,,,0.30884,,,
금천구,가산동,9775,11545510.0,60073.0,0.538776,4.0,37.0,11.0
금천구,독산1동,8983,11545610.0,34226.0,0.446842,4.0,127.0,32.0
금천구,독산2동,3209,11545620.0,14101.0,0.12828,0.0,0.0,0.0
금천구,독산3동,4413,11545630.0,22045.0,0.196696,0.0,0.0,0.0
금천구,독산4동,2608,11545640.0,11454.0,0.126142,0.0,0.0,0.0
금천구,시흥1동,5285,11545670.0,27398.0,0.365598,2.0,65.0,14.0
금천구,시흥2동,1592,11545680.0,15241.0,0.269388,0.0,0.0,0.0
금천구,시흥3동,1142,11545690.0,10169.0,0.228766,0.0,0.0,0.0
금천구,시흥4동,2417,11545700.0,11811.0,0.186006,0.0,0.0,0.0
금천구,시흥5동,2910,11545710.0,11655.0,0.297182,0.0,0.0,0.0
영등포구,여의동,2672,11560540.0,93805.0,2.03532,1.0,65.0,17.0
영등포구,당산1동,4125,11560550.0,25422.0,0.181725,0.0,33.0,5.0
영등포구,당산2동,7461,11560560.0,36745.0,0.375565,0.0,19.0,1.0
영등포구,양평1동,3721,11560610.0,19063.0,0.213224,3.0,49.0,7.0
영등포구,양평2동,3391,11560620.0,28489.0,0.7269,0.0,0.0,0.0
영등포구,신길1동,4995,11560630.0,17441.0,0.159918,1.0,78.0,15.0
영등포구,신길3동,2205,11560650.0,12770.0,0.125996,0.0,0.0,0.0
영등포구,신길4동,1475,11560660.0,7530.0,0.092074,0.0,0.0,0.0
영등포구,신길5동,1386,11560670.0,11004.0,0.113881,0.0,0.0,0.0
